Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Moldova,0.0,0.0,0.0,0.0,01-22-2020,0
Moldova,0.0,0.0,0.0,0.0,01-23-2020,0
Moldova,0.0,0.0,0.0,0.0,01-24-2020,0
Moldova,0.0,0.0,0.0,0.0,01-25-2020,0
Moldova,0.0,0.0,0.0,0.0,01-26-2020,0
Moldova,0.0,0.0,0.0,0.0,01-27-2020,0
Moldova,0.0,0.0,0.0,0.0,01-28-2020,0
Moldova,0.0,0.0,0.0,0.0,01-29-2020,0
Moldova,0.0,0.0,0.0,0.0,01-30-2020,0
Moldova,0.0,0.0,0.0,0.0,01-31-2020,0
Moldova,0.0,0.0,0.0,0.0,02-01-2020,0
Moldova,0.0,0.0,0.0,0.0,02-02-2020,0
Moldova,0.0,0.0,0.0,0.0,02-03-2020,0
Moldova,0.0,0.0,0.0,0.0,02-04-2020,0
Moldova,0.0,0.0,0.0,0.0,02-05-2020,0
Moldova,0.0,0.0,0.0,0.0,02-06-2020,0
Moldova,0.0,0.0,0.0,0.0,02-07-2020,0
Moldova,0.0,0.0,0.0,0.0,02-08-2020,0
Moldova,0.0,0.0,0.0,0.0,02-09-2020,0
Moldova,0.0,0.0,0.0,0.0,02-10-2020,0
Moldova,0.0,0.0,0.0,0.0,02-11-2020,0
Moldova,0.0,0.0,0.0,0.0,02-12-2020,0
Moldova,0.0,0.0,0.0,0.0,02-13-2020,0
Moldova,0.0,0.0,0.0,0.0,02-14-2020,0
Moldova,0.0,0.0,0.0,0.0,02-15-2020,0
Moldova,0.0,0.0,0.0,0.0,02-16-2020,0
Moldova,0.0,0.0,0.0,0.0,02-17-2020,0
Moldova,0.0,0.0,0.0,0.0,02-18-2020,0
Moldova,0.0,0.0,0.0,0.0,02-19-2020,0
Moldova,0.0,0.0,0.0,0.0,02-20-2020,0
Moldova,0.0,0.0,0.0,0.0,02-21-2020,0
Moldova,0.0,0.0,0.0,0.0,02-22-2020,0
Moldova,0.0,0.0,0.0,0.0,02-23-2020,0
Moldova,0.0,0.0,0.0,0.0,02-24-2020,0
Moldova,0.0,0.0,0.0,0.0,02-25-2020,0
Moldova,0.0,0.0,0.0,0.0,02-26-2020,0
Moldova,0.0,0.0,0.0,0.0,02-27-2020,0
Moldova,0.0,0.0,0.0,0.0,02-28-2020,0
Moldova,0.0,0.0,0.0,0.0,02-29-2020,0
Moldova,0.0,0.0,0.0,0.0,03-01-2020,0
Moldova,0.0,0.0,0.0,0.0,03-02-2020,0
Moldova,0.0,0.0,0.0,0.0,03-03-2020,0
Moldova,0.0,0.0,0.0,0.0,03-04-2020,0
Moldova,0.0,0.0,0.0,0.0,03-05-2020,0
Moldova,0.0,0.0,0.0,0.0,03-06-2020,0
